,id,name,service_name,service_id,location
1774,45617,Karhusaari / Hiekkakenttä,Pallokenttä,495,POINT (60.250572 25.226152)
1775,45615,Degerö lågstadieskola / Hiekkakenttä,Pallokenttä,495,POINT (60.187084 25.044178)
1776,45601,Töölön ala-asteen koulu / Pallokenttä,Pallokenttä,495,POINT (60.18304 24.922026)
1777,45581,Filpuksenpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.24792 25.018559)
1778,45573,Staffansby lågstadieskola / Hiekkakenttä,Pallokenttä,495,POINT (60.260006 25.000858)
1779,45568,Hietakummun ala-asteen koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.24635 25.016073)
1780,45538,Malmin peruskoulu (sivukoulu) / Hiekkakenttä,Pallokenttä,495,POINT (60.25348 25.004635)
1781,45535,Malmin peruskoulu (Talvela) / Hiekkakenttä,Pallokenttä,495,POINT (60.25475 24.999569)
1782,45532,Zacharias Topeliusskolan / Hiekkakenttä,Pallokenttä,495,POINT (60.18745 24.912855)
1783,45491,Leikkipuisto Kipinäpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.236675 25.063494)
1784,45475,Pirttimäen ulkoilualue / Nurmikenttä,Pallokenttä,495,POINT (60.26902 24.650152)
1785,45444,Talin siirtolapuutarha / Hiekkakenttä,Pallokenttä,495,POINT (60.2146 24.86192)
1786,45413,PadelCenter Helsinki / Padelkentät,Pallokenttä,495,POINT (60.15325 24.931456)
1787,45410,Sakarinmäen peruskoulu / Hiekkakenttä 3,Pallokenttä,495,POINT (60.2606 25.21198)
1788,45386,Selkämerenpuisto / Tekonurmikenttä,Pallokenttä,495,POINT (60.159634 24.91406)
1789,45384,Lassilan liikuntapuisto / Nurmikenttä,Pallokenttä,495,POINT (60.233963 24.872904)
1790,45330,Kurkisuontie 2 / Hiekkakenttä,Pallokenttä,495,POINT (60.23164 25.075531)
1791,45321,Laajasalon liikuntapuisto / Nurmikenttä 1,Pallokenttä,495,POINT (60.17557 25.056654)
1792,45312,Myllypuron peruskoulu / Hiekkakenttä,Pallokenttä,495,POINT (60.220634 25.067799)
1793,45294,Santahaminan nurmikenttä,Pallokenttä,495,POINT (60.152794 25.055946)
1794,45146,Sakarinmäen peruskoulu / Hiekkakenttä 1,Pallokenttä,495,POINT (60.26059 25.21097)
1795,45140,Stansvikin kartano / Nurmikenttä,Pallokenttä,495,POINT (60.16459 25.029331)
1796,45123,Kulosaaren ulkoilupuisto / Nurmikenttä 3,Pallokenttä,495,POINT (60.19468 25.015062)
1797,45100,Kumpulan Siirtolapuutarha / Hiekkakenttä,Pallokenttä,495,POINT (60.210224 24.956781)
1798,45072,Tapiolan urheilupuisto / Tekonurmikenttä,Pallokenttä,495,POINT (60.179005 24.780043)
1799,45071,Tapiolan urheilupuisto / Tekonurmikenttä 3,Pallokenttä,495,POINT (60.17773 24.782688)
1800,45069,Hansavalkaman tekonurmikenttä,Pallokenttä,495,POINT (60.19188 24.58486)
1801,45068,Kirstinkenttä / Tekonurmikenttä,Pallokenttä,495,POINT (60.202904 24.671324)
1802,45067,Leppävaaran urheilupuisto / Tekonurmikenttä 2,Pallokenttä,495,POINT (60.225914 24.795145)
1803,44969,Forsellesintien hiekkakenttä,Pallokenttä,495,POINT (60.21202 24.73568)
1804,44968,Smedsintien hiekkakenttä,Pallokenttä,495,POINT (60.207096 24.730207)
1805,44574,Heidehofinpuiston kenttä,Pallokenttä,495,POINT (60.283016 25.05589)
1806,44388,Pirkkolan liikuntapuisto / Tekonurmikenttä 2,Pallokenttä,495,POINT (60.23446 24.914272)
1807,42940,Rekolanmäen koulun hiekkakenttä,Pallokenttä,495,POINT (60.335003 25.061003)
1808,42936,Västersundomin koulun nurmikenttä,Pallokenttä,495,POINT (60.25489 25.141396)
1809,42935,Pähkinärinteen koulun hiekkakenttä,Pallokenttä,495,POINT (60.258514 24.805315)
1810,42928,Puistokenttä Koivupäänpuisto,Pallokenttä,495,POINT (60.320164 24.884087)
